"Name","Created","Runtime","End Time","Hostname","ID","Notes","Updated","Tags","model_name","checkpoint_dir","test_accuracy","test_f1","test_precision","test_recall","val_accuracy","val_f1","val_precision","val_recall"
"ru_model_train_ar_seed44","2024-10-09T06:58:30.000Z","247","2024-10-09T07:02:37.000Z","gr007.hpc.nyu.edu","xey2mf1v","-","2024-10-09T07:02:37.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed44","0.3737864077669903","0.25953384982511196","0.210005502928344","0.3737864077669903","0.3469387755102041","0.22398677780971543","0.17234693877551022","0.3469387755102041"
"ru_model_train_en_seed42","2024-10-09T05:35:13.000Z","326","2024-10-09T05:40:39.000Z","gr007.hpc.nyu.edu","iqy1yjb1","-","2024-10-09T05:40:39.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed42","0.36486486486486486","0.2611189368110976","0.3382543895936753","0.36486486486486486","0.3674911660777385","0.2591422857171827","0.33477543519979897","0.3674911660777385"
"ru_model_train_ru_seed43","2024-10-09T09:26:23.000Z","234","2024-10-09T09:30:17.000Z","gr007.hpc.nyu.edu","xp3bstu3","-","2024-10-09T09:30:17.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed43","0.5056179775280899","0.42318974449094054","0.3851140878912205","0.5056179775280899","0.4602272727272727","0.367089072543618","0.34713419660011424","0.4602272727272727"
"ru_model_train_ar_seed44","2024-10-09T06:37:44.000Z","247","2024-10-09T06:41:51.000Z","gr007.hpc.nyu.edu","hz1sr303","-","2024-10-09T06:41:51.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed44","0.4805825242718446","0.43032052066294785","0.42048420734424474","0.4805825242718446","0.4846938775510204","0.41424883206294566","0.3974749199628753","0.4846938775510204"
"ru_model_train_fr_seed42","2024-10-09T08:44:06.000Z","230","2024-10-09T08:47:56.000Z","gr007.hpc.nyu.edu","hss98a2u","-","2024-10-09T08:47:56.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed42","0.2648648648648649","0.13764206920810293","0.13677807985500295","0.2648648648648649","0.3575757575757576","0.2445763841892874","0.28716898716898714","0.3575757575757576"
"ru_model_train_hi_seed43","2024-10-09T07:53:18.000Z","210","2024-10-09T07:56:48.000Z","gr007.hpc.nyu.edu","4s9ljhgw","-","2024-10-09T07:56:48.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed43","0.22699386503067484","0.15064508797935663","0.1386116574201818","0.22699386503067484","0.2147651006711409","0.13128511061396966","0.1115495632820434","0.2147651006711409"
"ru_model_train_ar_seed46","2024-10-09T07:27:52.000Z","251","2024-10-09T07:32:03.000Z","gr007.hpc.nyu.edu","hqexwkty","-","2024-10-09T07:32:03.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed46","0.24271844660194175","0.12156451757266871","0.11232992765041765","0.24271844660194175","0.25510204081632654","0.14614919963757175","0.15799498746867166","0.25510204081632654"
"ru_model_train_ru_seed43","2024-10-09T09:46:09.000Z","235","2024-10-09T09:50:04.000Z","gr007.hpc.nyu.edu","h2h44bc1","-","2024-10-09T09:50:04.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed43","0.21910112359550565","0.1422436282569954","0.24824521005116423","0.21910112359550565","0.23863636363636365","0.1539586101025368","0.3568461140178766","0.23863636363636365"
"ru_model_train_ar_seed42","2024-10-09T07:11:03.000Z","251","2024-10-09T07:15:14.000Z","gr007.hpc.nyu.edu","xxvjnfav","-","2024-10-09T07:15:14.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed42","0.1407766990291262","0.047197365226582175","0.03279652309602694","0.1407766990291262","0.1989795918367347","0.08115646506923781","0.12372309579569532","0.1989795918367347"
"ru_model_train_hi_seed42","2024-10-09T07:49:49.000Z","208","2024-10-09T07:53:17.000Z","gr007.hpc.nyu.edu","y1qk2maa","-","2024-10-09T07:53:17.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed42","0.20245398773006135","0.10837557185726256","0.07965024108365697","0.20245398773006135","0.2684563758389262","0.16256524981357195","0.1792790424133398","0.2684563758389262"
"ru_model_train_hi_seed44","2024-10-09T07:39:06.000Z","217","2024-10-09T07:42:43.000Z","gr007.hpc.nyu.edu","gb5r2pls","-","2024-10-09T07:42:43.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed44","0.34355828220858897","0.26730764567521037","0.2679006453165078","0.34355828220858897","0.3691275167785235","0.28963174993621876","0.2583234636136334","0.3691275167785235"
"ru_model_train_ru_seed46","2024-10-09T09:57:59.000Z","239","2024-10-09T10:01:58.000Z","gr007.hpc.nyu.edu","zj0202pq","-","2024-10-09T10:01:58.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed46","0.21348314606741572","0.08294129776959339","0.161676455566905","0.21348314606741572","0.2215909090909091","0.08811753094323517","0.268474025974026","0.2215909090909091"
"ru_model_train_ar_seed43","2024-10-09T06:54:21.000Z","248","2024-10-09T06:58:29.000Z","gr007.hpc.nyu.edu","zhvuxoqr","-","2024-10-09T06:58:29.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed43","0.3737864077669903","0.25783064618016077","0.20822866453934413","0.3737864077669903","0.3520408163265306","0.22663977528389043","0.17768838304552592","0.3520408163265306"
"ru_model_train_hi_seed42","2024-10-09T07:32:05.000Z","209","2024-10-09T07:35:34.000Z","gr007.hpc.nyu.edu","u0yvz3vz","-","2024-10-09T07:35:34.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed42","0.3619631901840491","0.3175341029173245","0.2917699080434753","0.3619631901840491","0.4161073825503356","0.36621569286684","0.35095299222816","0.4161073825503356"
"ru_model_train_ar_seed43","2024-10-09T06:33:35.000Z","248","2024-10-09T06:37:43.000Z","gr007.hpc.nyu.edu","fht4qjoh","-","2024-10-09T06:37:43.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed43","0.441747572815534","0.38228687160464864","0.34075073411121015","0.441747572815534","0.4846938775510204","0.39930095505432617","0.3482535880533802","0.4846938775510204"
"ru_model_train_en_seed45","2024-10-09T05:51:28.000Z","323","2024-10-09T05:56:51.000Z","gr007.hpc.nyu.edu","5bgd2fnx","-","2024-10-09T05:56:51.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed45","0.32094594594594594","0.16802536231884058","0.2626226397630507","0.32094594594594594","0.3286219081272085","0.1717780868000639","0.20278363881333095","0.3286219081272085"
"ru_model_train_ar_seed45","2024-10-09T07:23:39.000Z","252","2024-10-09T07:27:51.000Z","gr007.hpc.nyu.edu","ycplz9d3","-","2024-10-09T07:27:51.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed45","0.3300970873786408","0.16444397026921298","0.10949561922803697","0.3300970873786408","0.32142857142857145","0.1569767441860465","0.10384615384615384","0.32142857142857145"
"ru_model_train_hi_seed42","2024-10-09T08:07:26.000Z","210","2024-10-09T08:10:56.000Z","gr007.hpc.nyu.edu","yjdb6mzz","-","2024-10-09T08:10:56.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed42","0.15950920245398773","0.06751122088545401","0.042829031137863176","0.15950920245398773","0.1342281879194631","0.0453777873998701","0.02736189984512132","0.1342281879194631"
"ru_model_train_hi_seed43","2024-10-09T08:10:57.000Z","207","2024-10-09T08:14:24.000Z","gr007.hpc.nyu.edu","elv5r24e","-","2024-10-09T08:14:24.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed43","0.1656441717791411","0.08565064750756263","0.07622682372228469","0.1656441717791411","0.15436241610738255","0.08652897828397461","0.07427020243356797","0.15436241610738255"
"ru_model_train_ru_seed46","2024-10-09T10:17:49.000Z","240","2024-10-09T10:21:49.000Z","gr007.hpc.nyu.edu","dl5tmlmf","-","2024-10-09T10:21:49.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed46","0.16292134831460675","0.07899754148240237","0.27957002565690525","0.16292134831460675","0.20454545454545456","0.08928571428571429","0.05723624201885072","0.20454545454545456"
